web-scraper-order;web-scraper-start-url;Adresse;Art;Datum;Preis;Preis2
1671561894-48;https://www.benzin-preis.ch/suche?next=2594;"Tankstelle Svabic 

Hauptstr. 75 , 8362 Balterswil";Bleifrei;16.07.2022;2,179 sFr;1,879 sFr
1671561896-49;https://www.benzin-preis.ch/suche?next=2593;"Coop

Gotthardstrasse , 6467 Schattdorf";Bleifrei;27.05.2022;2,170 sFr;1,930 sFr
1671561898-50;https://www.benzin-preis.ch/suche?next=2592;"Ruedi Rüssel

Lenzburgstr. 8, 5507 Mellingen";Bleifrei;09.03.2022;2,170 sFr;1,880 sFr
1671561901-51;https://www.benzin-preis.ch/suche?next=2591;"Ruedi Rüssel

Bahnhofstr.7, 5507 Mellingen";Bleifrei;09.03.2022;2,170 sFr;1,880 sFr
1671561905-52;https://www.benzin-preis.ch/suche?next=2590;"Garage Emery

rte de Sullens 9, 1303 Penthaz";Bleifrei;31.05.2022;2,170 sFr;1,930 sFr
1671561907-53;https://www.benzin-preis.ch/suche?next=2589;"Shell

Route des Acacias 41, 1227 Carouge GE";Bleifrei;25.03.2022;2,170 sFr;2,010 sFr
1671561909-54;https://www.benzin-preis.ch/suche?next=2588;"Gratank AG, Freie Tankstellle

Landstr. 10, 5524 Nesselnbach";Bleifrei;09.03.2022;2,169 sFr;1,879 sFr
1671561911-55;https://www.benzin-preis.ch/suche?next=2587;"Avia

Via Maistra 68 , 7504 Pontresina";Bleifrei;13.05.2022;2,160 sFr;1,970 sFr
1671561913-56;https://www.benzin-preis.ch/suche?next=2586;"Welti

Militärstrasse 12, 6467 Schattdorf";Bleifrei;09.08.2022;2,160 sFr;1,920 sFr
1671561915-57;https://www.benzin-preis.ch/suche?next=2585;"Migrol

Daegerlohn , 6473 Silenen";Bleifrei;09.08.2022;2,160 sFr;1,920 sFr
1671561917-58;https://www.benzin-preis.ch/suche?next=2584;"BP

Rte de Chancy 17 bis, 1213 Petit-Lancy";Bleifrei;25.03.2022;2,160 sFr;2,000 sFr
1671561919-59;https://www.benzin-preis.ch/suche?next=2583;"Coop Pronto

Av. Cardinal-Mermillod 11, 1227 Carouge";Bleifrei;25.03.2022;2,160 sFr;2,000 sFr
1671561921-60;https://www.benzin-preis.ch/suche?next=2582;"Shell

Av. Louis-Casaï 27, 1209 Genève";Bleifrei;25.03.2022;2,160 sFr;2,000 sFr
1671561923-61;https://www.benzin-preis.ch/suche?next=2581;"Ruedi Rüssel Schöftland

Aarauerstrasse 6, 5040 Schöftland";Bleifrei;09.03.2022;2,160 sFr;1,870 sFr
1671561925-62;https://www.benzin-preis.ch/suche?next=2580;"Shell

Rte de Chancy 142, 1213 Onex";Bleifrei;25.03.2022;2,160 sFr;2,000 sFr
1671561927-63;https://www.benzin-preis.ch/suche?next=2579;"Shell Station

Rte de Meyrin 248, 1217 Meyrin";Bleifrei;24.03.2022;2,160 sFr;2,000 sFr
1671561930-64;https://www.benzin-preis.ch/suche?next=2578;"Ruedi Rüssel

Chesa Fringuel, 7516 Maloja";Bleifrei;11.07.2022;2,160 sFr;1,860 sFr
1671561931-65;https://www.benzin-preis.ch/suche?next=2577;"Avia

Dorfstr. 13, 6462 Seedorf UR";Bleifrei;09.08.2022;2,160 sFr;1,920 sFr
1671561934-66;https://www.benzin-preis.ch/suche?next=2576;"Garage Hürlimann

Haptstr. 38, 5506 Mägenwil";Bleifrei;09.03.2022;2,160 sFr;1,870 sFr
1671561936-67;https://www.benzin-preis.ch/suche?next=2575;"Daetwyler Swiss Tec AG

Flugplatz, 3368 Bleienbach";Bleifrei;27.06.2022;2,150 sFr;1,790 sFr
1671561938-68;https://www.benzin-preis.ch/suche?next=2574;"Coop

Tramstr. 20, 9444 Diepoldsau";Bleifrei;14.08.2022;2,150 sFr;1,910 sFr
1671561940-69;https://www.benzin-preis.ch/suche?next=2573;"BP Tankstelle Diepoldsau

Tramstr. 19, 9444 Diepoldsau";Bleifrei;14.08.2022;2,150 sFr;1,910 sFr
1671561944-70;https://www.benzin-preis.ch/suche?next=2572;"Eni

Tramstr. 28, 9444 Diepoldsau";Bleifrei;14.08.2022;2,150 sFr;1,910 sFr
1671561946-71;https://www.benzin-preis.ch/suche?next=2571;"Pasche & Co SA

av. de Morges 47, 1027 Lonay";Bleifrei;02.08.2022;2,150 sFr;1,880 sFr
1671561948-72;https://www.benzin-preis.ch/suche?next=2570;"BP

Südstr. 1 , 9451 Kriessern";Bleifrei;14.08.2022;2,150 sFr;1,910 sFr
1671561951-73;https://www.benzin-preis.ch/suche?next=2569;"Eni

Av. Louis-Casaï 110, 1220 Vernier";Bleifrei;25.03.2022;2,150 sFr;1,990 sFr
1671561953-74;https://www.benzin-preis.ch/suche?next=2568;"Eni

, 7074 Malix";Bleifrei;16.08.2022;2,150 sFr;1,910 sFr
1671561955-75;https://www.benzin-preis.ch/suche?next=2567;"Remo Arnoldi

Rue de Carouge 116, 1205 Genève";Bleifrei;25.03.2022;2,150 sFr;1,990 sFr
1671561957-76;https://www.benzin-preis.ch/suche?next=2566;"Tamoil

Hohenemserstr. 65a, 9444 Diepoldsau";Bleifrei;14.08.2022;2,150 sFr;1,910 sFr
1671561960-77;https://www.benzin-preis.ch/suche?next=2565;"Shell

Zürcherstr. 73, 8800 Thalwil";Bleifrei;22.08.2022;2,149 sFr;1,939 sFr
1671561963-78;https://www.benzin-preis.ch/suche?next=2564;"Garage Guex SA

rte Romanel 40, 1121 Bremblens";Bleifrei;31.05.2022;2,149 sFr;1,909 sFr
1671561966-79;https://www.benzin-preis.ch/suche?next=2563;"Denner

rue de la Gare 2, 1373 Chavornay";Bleifrei;23.05.2022;2,140 sFr;1,900 sFr
1671561968-80;https://www.benzin-preis.ch/suche?next=2562;"Migrol

Hauptstr. , 7075 Churwalden";Bleifrei;16.08.2022;2,140 sFr;1,900 sFr
1671561970-81;https://www.benzin-preis.ch/suche?next=2561;"Shell

Rte de Saint-Julien 295, 1258 Perly-Certoux";Bleifrei;03.04.2022;2,140 sFr;2,010 sFr
1671561973-82;https://www.benzin-preis.ch/suche?next=2560;"Tamoil

Rte de Saint-Julien 286, 1258 Perly-Certoux";Bleifrei;03.04.2022;2,140 sFr;2,010 sFr
1671561976-83;https://www.benzin-preis.ch/suche?next=2559;"Coop Pronto

Chem. de Champ-Budin 1a, 1258 Perly-Certoux";Bleifrei;03.04.2022;2,140 sFr;2,010 sFr
1671561978-84;https://www.benzin-preis.ch/suche?next=2558;"BP

Rte de Saint-Julien 266, 1258 Perly-Certoux";Bleifrei;03.04.2022;2,140 sFr;2,010 sFr
1671561980-85;https://www.benzin-preis.ch/suche?next=2557;"J. Lenz Söhne AG Garage Valbella

Voa Principala, 7077 Valbella";Bleifrei;13.05.2022;2,135 sFr;1,945 sFr
1671561982-86;https://www.benzin-preis.ch/suche?next=2556;"Avia

Rte de Verbois 59, 1281 Russin";Bleifrei;03.04.2022;2,130 sFr;2,000 sFr
1671561984-87;https://www.benzin-preis.ch/suche?next=2555;"Shell

Rte de Chancy 500, 1284 Chancy";Bleifrei;03.04.2022;2,130 sFr;2,000 sFr
1671561986-88;https://www.benzin-preis.ch/suche?next=2554;"Ring Garage AG Chur

Ringstr. 5-9, 7000 Chur";Bleifrei;13.05.2022;2,130 sFr;1,940 sFr
1671561988-89;https://www.benzin-preis.ch/suche?next=2553;"BP

Loretostr. 57, 9620 Lichtensteig";Bleifrei;17.05.2022;2,130 sFr;1,940 sFr
1671561990-90;https://www.benzin-preis.ch/suche?next=2552;"BP

Gewerbestr. 24, 8800 Thalwil";Bleifrei;24.08.2022;2,130 sFr;1,920 sFr
1671561992-91;https://www.benzin-preis.ch/suche?next=2551;"Station service Piccand

Rte de Drize 73, 1234 Vessy";Bleifrei;16.04.2022;2,130 sFr;2,040 sFr
1671561994-92;https://www.benzin-preis.ch/suche?next=2550;"BP

Rte de Chancy 102, 1213 Onex";Bleifrei;08.04.2022;2,130 sFr;2,040 sFr
1671561996-93;https://www.benzin-preis.ch/suche?next=2549;"Socar

Rte de Chancy 113, 1213 Onex";Bleifrei;08.04.2022;2,130 sFr;2,040 sFr
1671561998-94;https://www.benzin-preis.ch/suche?next=2548;"Simon

ZI Moulin du Choc B, 1122 Romanel-sur-Morges";Bleifrei;04.04.2022;2,130 sFr;2,000 sFr
1671562000-95;https://www.benzin-preis.ch/suche?next=2547;"Station F1

rte Forge 1, 1116 Cottens VD";Bleifrei;08.08.2022;2,129 sFr;1,889 sFr
1671562003-96;https://www.benzin-preis.ch/suche?next=2546;"Shell

Feldhofstr. 2, 8610 Uster";Bleifrei;15.05.2022;2,125 sFr;1,935 sFr
1671562005-97;https://www.benzin-preis.ch/suche?next=2545;"Garage Autopac SA

ch. des Fourches 1, 1305 Penthalaz";Bleifrei;07.04.2022;2,120 sFr;2,030 sFr
1671562007-98;https://www.benzin-preis.ch/suche?next=2544;"Migrol

Haupstr. 145, 3212 Gurmels";Bleifrei;22.07.2022;2,110 sFr;1,840 sFr
1671562009-99;https://www.benzin-preis.ch/suche?next=2543;"Garage Peter Weber

Luterbachstrasse 51, 4528 Zuchwil";Bleifrei;17.07.2022;2,110 sFr;1,810 sFr
1671562011-100;https://www.benzin-preis.ch/suche?next=2542;"Voegtlin-Meyer

Bruggerstr. 28, 5413 Birmenstorf AG";Bleifrei;27.05.2022;2,110 sFr;1,870 sFr
1671562013-101;https://www.benzin-preis.ch/suche?next=2541;"Stop+Go Garage Schneider

Bruggerstr. 6, 5413 Birmenstorf AG";Bleifrei;27.05.2022;2,110 sFr;1,870 sFr
1671562016-102;https://www.benzin-preis.ch/suche?next=2540;"Gruppe Tonino

via San Gotthardo, 6780 Airolo";Bleifrei;27.05.2022;2,110 sFr;1,870 sFr
1671562018-103;https://www.benzin-preis.ch/suche?next=2539;"Coop

Obermattstr. 1, 8805 Richterswil";Bleifrei;20.08.2022;2,110 sFr;1,900 sFr
1671562020-104;https://www.benzin-preis.ch/suche?next=2538;"Avia

Rue des Bossons 106, 1213 Petit-Lancy";Bleifrei;08.04.2022;2,110 sFr;2,020 sFr
1671562022-105;https://www.benzin-preis.ch/suche?next=2537;"Agrola

Rickenstr. 68, 9630 Wattwil";Bleifrei;13.03.2022;2,110 sFr;1,940 sFr
1671562024-106;https://www.benzin-preis.ch/suche?next=2536;"BP

Rickenstrasse, 9630 Wattwil";Bleifrei;13.03.2022;2,110 sFr;1,940 sFr
1671562026-107;https://www.benzin-preis.ch/suche?next=2535;"Socar

Sankt Jakobs-Strasse 70, 4132 Muttenz";Bleifrei;25.07.2022;2,110 sFr;1,840 sFr
1671562029-108;https://www.benzin-preis.ch/suche?next=2534;"BP

Rte d'Aigle 58, 1867 Ollon VD";Bleifrei;18.04.2022;2,100 sFr;2,010 sFr
1671562031-109;https://www.benzin-preis.ch/suche?next=2533;"Eni

Bd des Promenades 2, 1227 Carouge GE";Bleifrei;16.04.2022;2,100 sFr;2,010 sFr
1671562033-110;https://www.benzin-preis.ch/suche?next=2532;"Socar

Solothurnstrasse 9, 4702 Oensingen";Bleifrei;31.03.2022;2,100 sFr;1,940 sFr
1671562035-111;https://www.benzin-preis.ch/suche?next=2531;"Piccadilly

Via Campione 4, 6816 Bissone";Bleifrei;21.03.2022;2,100 sFr;2,000 sFr
1671562037-112;https://www.benzin-preis.ch/suche?next=2530;"Coop Pronto

rte Lausanne 43, 1110 Morges";Bleifrei;13.05.2022;2,100 sFr;1,910 sFr
1671562039-113;https://www.benzin-preis.ch/suche?next=2529;"Tamoil

Rte du Bois-des-Frères 38, 1219 Aïre";Bleifrei;15.03.2022;2,100 sFr;1,930 sFr
1671562041-114;https://www.benzin-preis.ch/suche?next=2528;"Shell

Oltenstr. 50, 4702 Oensingen";Bleifrei;31.03.2022;2,100 sFr;1,940 sFr
1671562043-115;https://www.benzin-preis.ch/suche?next=2527;"Socar

Rte de Meyrin 372, 1217 Meyrin";Bleifrei;19.03.2022;2,100 sFr;2,000 sFr
1671562045-116;https://www.benzin-preis.ch/suche?next=2526;"Avia

Rue des Moulières 5, 1242 Satigny";Bleifrei;18.04.2022;2,100 sFr;2,010 sFr
1671562047-117;https://www.benzin-preis.ch/suche?next=2525;"station

ch Matagasses, 1268 Burtigny";Bleifrei;12.08.2022;2,100 sFr;1,860 sFr
1671562049-118;https://www.benzin-preis.ch/suche?next=2524;"Agrola

Steigstr. 8, 9220 Bischofszell";Bleifrei;13.03.2022;2,100 sFr;1,930 sFr
1671562051-119;https://www.benzin-preis.ch/suche?next=2523;"Landi

rte de Dizy 1, 1304 Cossonay-Ville";Bleifrei;07.04.2022;2,100 sFr;2,010 sFr
1671562053-120;https://www.benzin-preis.ch/suche?next=2522;"Eni

Via Cantonale, 6818 Melano";Bleifrei;21.03.2022;2,090 sFr;1,990 sFr
1671562054-121;https://www.benzin-preis.ch/suche?next=2521;"giola

Via Cantonale 59, 6818 Melano";Bleifrei;21.03.2022;2,090 sFr;1,990 sFr
1671562057-122;https://www.benzin-preis.ch/suche?next=2520;"Eni

Via Cantonale 10, 6818 Melano";Bleifrei;21.03.2022;2,090 sFr;1,990 sFr
1671562059-123;https://www.benzin-preis.ch/suche?next=2519;"Coop

Untere Dürrmühlestrasse 19, 4704 Niederbipp";Bleifrei;31.03.2022;2,090 sFr;1,930 sFr
1671562062-124;https://www.benzin-preis.ch/suche?next=2518;"Migrol

Buchlistrasse 1, 4704 Niederbipp";Bleifrei;31.03.2022;2,090 sFr;1,930 sFr
1671562065-125;https://www.benzin-preis.ch/suche?next=2517;"Agrola

Grosszelgstr., 5436 Würenlos";Bleifrei;28.03.2022;2,090 sFr;1,930 sFr
1671562067-126;https://www.benzin-preis.ch/suche?next=2516;"Socar

Via Franco Zorzi 4, 6850 Mendrisio";Bleifrei;21.03.2022;2,090 sFr;1,990 sFr
1671562069-127;https://www.benzin-preis.ch/suche?next=2515;"Socar

via Carlo Maderno 56, 6825 Capolago";Bleifrei;21.03.2022;2,090 sFr;1,990 sFr
1671562072-128;https://www.benzin-preis.ch/suche?next=2514;"Shell

Route de Lausanne 345, 1293 Bellevue";Bleifrei;21.03.2022;2,090 sFr;1,990 sFr
1671562074-129;https://www.benzin-preis.ch/suche?next=2513;"BP

Route de Lausanne, 1293 Bellevue";Bleifrei;21.03.2022;2,090 sFr;1,990 sFr
1671562076-130;https://www.benzin-preis.ch/suche?next=2512;"Agrola

Rue des Sablières 15, 1242 Satigny";Bleifrei;18.04.2022;2,090 sFr;2,000 sFr
1671562078-131;https://www.benzin-preis.ch/suche?next=2511;"BP

Bielstr. 98, 3250 Lyss";Bleifrei;06.06.2022;2,090 sFr;1,750 sFr
1671562080-132;https://www.benzin-preis.ch/suche?next=2510;"Avia

Hauptstrasse, 9514 Wuppenau";Bleifrei;12.08.2022;2,090 sFr;1,850 sFr
1671562083-133;https://www.benzin-preis.ch/suche?next=2509;"Tamoil

Via Giulia 47, 6855 Stabio";Bleifrei;21.03.2022;2,080 sFr;1,980 sFr
1671562085-134;https://www.benzin-preis.ch/suche?next=2508;"Coop

Dorfstrasse 20, 4612 Wangen b. Olten";Bleifrei;01.04.2022;2,080 sFr;1,950 sFr
1671562087-135;https://www.benzin-preis.ch/suche?next=2507;"Tamoil

Rte de Riddes 22, 1912 Leytron";Bleifrei;18.04.2022;2,080 sFr;1,990 sFr
1671562090-136;https://www.benzin-preis.ch/suche?next=2506;"Nasa GmbH

Zürcherstr. 68, 8500 Frauenfeld";Bleifrei;09.03.2022;2,080 sFr;1,790 sFr
1671562092-137;https://www.benzin-preis.ch/suche?next=2505;"Holzmätteli

Hofstettenstrasse, 3626 Hünibach";Bleifrei;09.08.2022;2,080 sFr;1,840 sFr
1671562095-138;https://www.benzin-preis.ch/suche?next=2504;"Nasa Gmbh

Zürcherstrasse 68, 8500 Frauenfeld";Bleifrei;09.03.2022;2,080 sFr;1,790 sFr
1671562098-139;https://www.benzin-preis.ch/suche?next=2503;"Agip

Solothurnerstr. 22, 4614 Hägendorf";Bleifrei;01.04.2022;2,080 sFr;1,950 sFr
1671562101-140;https://www.benzin-preis.ch/suche?next=2502;"Avia

Rheinstr. 7, 9463 Oberriet SG";Bleifrei;10.05.2022;2,080 sFr;1,940 sFr
1671562103-141;https://www.benzin-preis.ch/suche?next=2501;"Socar

Solothurnerstr. 170, 4600 Olten";Bleifrei;01.04.2022;2,080 sFr;1,950 sFr
1671562105-142;https://www.benzin-preis.ch/suche?next=2500;"BP

Kempttalstr. 54, 8330 Pfäffikon ZH";Bleifrei;30.08.2022;2,080 sFr;1,890 sFr
1671562107-143;https://www.benzin-preis.ch/suche?next=2499;"Eni Gotthard

A2 Ost, 6467 Schattdorf";Bleifrei;28.10.2022;2,075 sFr;2,045 sFr
1671562109-144;https://www.benzin-preis.ch/suche?next=2498;"Hänggi

Schermenweg 151, 3072 Ostermundigen";Bleifrei;04.09.2022;2,070 sFr;1,940 sFr
1671562112-145;https://www.benzin-preis.ch/suche?next=2497;"Piccadilly

Via Gaggiolo 33, 6855 Stabio";Bleifrei;21.03.2022;2,070 sFr;1,970 sFr
1671562114-146;https://www.benzin-preis.ch/suche?next=2496;"Eni

Via Gaggiolo 35, 6855 Stabio";Bleifrei;21.03.2022;2,070 sFr;1,970 sFr
1671562116-147;https://www.benzin-preis.ch/suche?next=2495;"Eni

Via Gaggiolo 45, 6855 Stabio";Bleifrei;21.03.2022;2,070 sFr;1,970 sFr
1671562118-148;https://www.benzin-preis.ch/suche?next=2494;"Eni

Via Gaggiolo 42, 6855 Stabio";Bleifrei;21.03.2022;2,070 sFr;1,970 sFr
1671562120-149;https://www.benzin-preis.ch/suche?next=2493;"Agrola

Route de Saanen 2, 1660 Château-d'Oex";Bleifrei;18.04.2022;2,070 sFr;1,980 sFr
1671562123-150;https://www.benzin-preis.ch/suche?next=2492;"BP

Via Francesco Borromini 6, 6850 Mendrisio";Bleifrei;21.03.2022;2,070 sFr;1,970 sFr
1671562125-151;https://www.benzin-preis.ch/suche?next=2491;"Avia

Via Gaggiolo 39, 6855 Stabio";Bleifrei;21.03.2022;2,070 sFr;1,970 sFr
1671562128-152;https://www.benzin-preis.ch/suche?next=2490;"Shell

Av. de l'Ain 5, 1214 Vernier";Bleifrei;25.04.2022;2,070 sFr;1,960 sFr
1671562130-153;https://www.benzin-preis.ch/suche?next=2489;"Hänggi

Bolligenstr., 3072 Ostermundigen";Bleifrei;05.09.2022;2,070 sFr;1,940 sFr
1671562133-154;https://www.benzin-preis.ch/suche?next=2488;"Spurt Gas Bar

Rue de Livron 19B, 1217 Meyrin";Bleifrei;25.04.2022;2,070 sFr;1,960 sFr
1671562135-155;https://www.benzin-preis.ch/suche?next=2487;"LANDI Zola AG

Kempttalstr., 8330 Pfäffikon ZH";Bleifrei;30.08.2022;2,070 sFr;1,880 sFr
1671562137-156;https://www.benzin-preis.ch/suche?next=2486;"Hänggi

Murtenstr. 112, 3202 Frauenkappelen";Bleifrei;04.09.2022;2,070 sFr;1,940 sFr
1671562139-157;https://www.benzin-preis.ch/suche?next=2485;"Küng AG Bern

Hubelgutstrasse 1, 3048 Worblaufen";Bleifrei;21.08.2022;2,060 sFr;1,850 sFr
1671562141-158;https://www.benzin-preis.ch/suche?next=2484;"Coop

Oltnerstrasse 127, 4663 Aarburg";Bleifrei;06.04.2022;2,060 sFr;1,930 sFr
1671562143-159;https://www.benzin-preis.ch/suche?next=2483;"HESSAG

Worblaufenstr. 159, 3048 Worblaufen";Bleifrei;14.08.2022;2,060 sFr;1,820 sFr
