web-scraper-order;web-scraper-start-url;Adresse;Art;Datum;Preis;Preis2
1671562775-69;https://www.benzin-preis.ch/suche-kanton?next=2587;"Socar

Seestr. 1, 8712 Stäfa";Diesel;09.06.2022;2,350 sFr;2,107 sFr
1671562777-70;https://www.benzin-preis.ch/suche-kanton?next=2586;"Freie Tankstelle Avers

Beim Volg, 7447 Cresta (Avers)";Diesel;27.06.2022;2,350 sFr;2,087 sFr
1671562779-71;https://www.benzin-preis.ch/suche-kanton?next=2585;"Shell

Zürcherstr. 73, 8800 Thalwil";Diesel;22.08.2022;2,349 sFr;2,106 sFr
1671562783-72;https://www.benzin-preis.ch/suche-kanton?next=2584;"Avia

Etzelstr. 21, 8634 Hombrechtikon";Diesel;09.06.2022;2,349 sFr;2,106 sFr
1671562785-73;https://www.benzin-preis.ch/suche-kanton?next=2583;"Agrola

Hauptstr. 7, 8363 Bichelsee";Diesel;16.07.2022;2,345 sFr;2,112 sFr
1671562787-74;https://www.benzin-preis.ch/suche-kanton?next=2582;"Agrola

Bahnhofstr. 50, 8360 Eschlikon TG";Diesel;16.07.2022;2,345 sFr;2,112 sFr
1671562789-75;https://www.benzin-preis.ch/suche-kanton?next=2581;"Welti

Militärstrasse 12, 6467 Schattdorf";Diesel;09.08.2022;2,340 sFr;2,137 sFr
1671562791-76;https://www.benzin-preis.ch/suche-kanton?next=2580;"Ruedi Rüssel

Gotthardstr. , 6484 Wassen UR";Diesel;27.05.2022;2,340 sFr;2,167 sFr
1671562793-77;https://www.benzin-preis.ch/suche-kanton?next=2579;"Migrol

Daegerlohn , 6473 Silenen";Diesel;09.08.2022;2,340 sFr;2,137 sFr
1671562795-78;https://www.benzin-preis.ch/suche-kanton?next=2578;"Migrol Service

Ringstr, 20, 7000 Chur";Diesel;18.07.2022;2,340 sFr;2,107 sFr
1671562797-79;https://www.benzin-preis.ch/suche-kanton?next=2577;"Eni

, 7074 Malix";Diesel;16.08.2022;2,340 sFr;2,137 sFr
1671562799-80;https://www.benzin-preis.ch/suche-kanton?next=2576;"Migrol

Winterthurerstr. 7 , 8360 Eschlikon TG";Diesel;16.07.2022;2,340 sFr;2,107 sFr
1671562802-81;https://www.benzin-preis.ch/suche-kanton?next=2575;"Garage Blatter AG

Ennet Brücke 7, 3930 Visp";Diesel;04.07.2022;2,340 sFr;2,077 sFr
1671562808-82;https://www.benzin-preis.ch/suche-kanton?next=2574;"BP Autobahn-Center Glarnerland Ost

Autobahnraststätte Ost A3, 8867 Niederurnen";Diesel;25.11.2022;2,340 sFr;2,340 sFr
1671562816-83;https://www.benzin-preis.ch/suche-kanton?next=2573;"Garage Nufenen AG

Nufenenstr. 2, 3988 Ulrichen";Diesel;04.07.2022;2,340 sFr;2,200 sFr
1671562817-84;https://www.benzin-preis.ch/suche-kanton?next=2572;"Avia

Dorfstr. 13, 6462 Seedorf UR";Diesel;09.08.2022;2,340 sFr;2,137 sFr
1671562819-85;https://www.benzin-preis.ch/suche-kanton?next=2571;"Socar

Kölliken Nord / A1, 5742 Kölliken";Diesel;28.10.2022;2,340 sFr;2,200 sFr
1671562821-86;https://www.benzin-preis.ch/suche-kanton?next=2570;"Socar

Gotthardstr. 66, 6467 Schattdorf";Diesel;27.05.2022;2,340 sFr;2,167 sFr
1671562823-87;https://www.benzin-preis.ch/suche-kanton?next=2569;"Opel Krapf AG

Buorcha, 7530 Zernez";Diesel;16.10.2022;2,330 sFr;2,197 sFr
1671562826-88;https://www.benzin-preis.ch/suche-kanton?next=2568;"Coop

Tramstr. 20, 9444 Diepoldsau";Diesel;14.08.2022;2,330 sFr;2,127 sFr
1671562828-89;https://www.benzin-preis.ch/suche-kanton?next=2567;"BP Tankstelle Diepoldsau

Tramstr. 19, 9444 Diepoldsau";Diesel;14.08.2022;2,330 sFr;2,127 sFr
1671562830-90;https://www.benzin-preis.ch/suche-kanton?next=2566;"Eni

Tramstr. 28, 9444 Diepoldsau";Diesel;14.08.2022;2,330 sFr;2,127 sFr
1671562831-91;https://www.benzin-preis.ch/suche-kanton?next=2565;"Migrol

Hauptstr. , 7075 Churwalden";Diesel;16.08.2022;2,330 sFr;2,127 sFr
1671562834-92;https://www.benzin-preis.ch/suche-kanton?next=2564;"Shell

Mettstr. 33, 2503 Biel/Bienne";Diesel;12.03.2022;2,330 sFr;2,257 sFr
1671562836-93;https://www.benzin-preis.ch/suche-kanton?next=2563;"Autobahntankstelle Gunzgen-Nord

Autobahntankstelle Gunzgen-Nord, 4617 Gunzgen";Diesel;28.10.2022;2,330 sFr;2,190 sFr
1671562837-94;https://www.benzin-preis.ch/suche-kanton?next=2562;"Mini Prix

av. Morges 3, 1027 Lonay";Diesel;02.08.2022;2,330 sFr;2,097 sFr
1671562839-95;https://www.benzin-preis.ch/suche-kanton?next=2561;"Obere Au Garage AG

Kalchbühlstr. 12, 7000 Chur";Diesel;18.07.2022;2,329 sFr;2,096 sFr
1671562842-96;https://www.benzin-preis.ch/suche-kanton?next=2560;"Agrola

Tränkebachstr. 42, 8712 Stäfa";Diesel;09.06.2022;2,329 sFr;2,086 sFr
1671562845-97;https://www.benzin-preis.ch/suche-kanton?next=2559;"Tankstelle Svabic 

Hauptstr. 75 , 8362 Balterswil";Diesel;16.07.2022;2,329 sFr;2,096 sFr
1671562846-98;https://www.benzin-preis.ch/suche-kanton?next=2558;"Station F1

rte Forge 1, 1116 Cottens VD";Diesel;08.08.2022;2,329 sFr;2,126 sFr
1671562849-99;https://www.benzin-preis.ch/suche-kanton?next=2557;"Agrola

Allenbergstr. 2, 8708 Männedorf";Diesel;09.06.2022;2,329 sFr;2,086 sFr
1671562851-100;https://www.benzin-preis.ch/suche-kanton?next=2556;"Coop

Gotthardstrasse , 6467 Schattdorf";Diesel;27.05.2022;2,320 sFr;2,147 sFr
1671562853-101;https://www.benzin-preis.ch/suche-kanton?next=2555;"Coop

Pantenweg 2 , 7430 Thusis";Diesel;11.07.2022;2,320 sFr;2,087 sFr
1671562855-102;https://www.benzin-preis.ch/suche-kanton?next=2554;"Coop Pronto

Zürcherstr. 229, 8953 Dietikon";Diesel;27.05.2022;2,320 sFr;2,147 sFr
1671562856-103;https://www.benzin-preis.ch/suche-kanton?next=2553;"Mattli AG

Unterdorf, 6484 Wassen UR";Diesel;27.05.2022;2,320 sFr;2,147 sFr
1671562858-104;https://www.benzin-preis.ch/suche-kanton?next=2552;"Shell

Kulm, 7265 Davos Wolfgang";Diesel;31.10.2022;2,320 sFr;2,210 sFr
1671562860-105;https://www.benzin-preis.ch/suche-kanton?next=2551;"Tamoil

Hohenemserstr. 65a, 9444 Diepoldsau";Diesel;14.08.2022;2,320 sFr;2,117 sFr
1671562863-106;https://www.benzin-preis.ch/suche-kanton?next=2550;"Agrola

Tösstalstr. 29, 8492 Wila";Diesel;16.07.2022;2,320 sFr;2,087 sFr
1671562866-107;https://www.benzin-preis.ch/suche-kanton?next=2549;"Socar Stampa

Strada Principale, 7605 Stampa";Diesel;11.07.2022;2,320 sFr;2,087 sFr
1671562868-108;https://www.benzin-preis.ch/suche-kanton?next=2548;"BP

Tösstalstr. 111, 8493 Saland";Diesel;16.07.2022;2,320 sFr;2,087 sFr
1671562871-109;https://www.benzin-preis.ch/suche-kanton?next=2547;"Shell

Überlandstrasse, 8104 Weiningen ZH";Diesel;27.05.2022;2,320 sFr;2,147 sFr
1671562873-110;https://www.benzin-preis.ch/suche-kanton?next=2546;"Garage Hürlimann

Haptstr. 38, 5506 Mägenwil";Diesel;09.03.2022;2,320 sFr;2,127 sFr
1671562875-111;https://www.benzin-preis.ch/suche-kanton?next=2545;"Garage Guex SA

rte Romanel 40, 1121 Bremblens";Diesel;31.05.2022;2,319 sFr;2,146 sFr
1671562877-112;https://www.benzin-preis.ch/suche-kanton?next=2544;"Coop Pronto

Kantonsstr. 99, 3952 Susten";Diesel;04.07.2022;2,310 sFr;2,047 sFr
1671562879-113;https://www.benzin-preis.ch/suche-kanton?next=2543;"Migrol

Simmentalstr., 3763 Därstetten";Diesel;04.07.2022;2,310 sFr;2,047 sFr
1671562881-114;https://www.benzin-preis.ch/suche-kanton?next=2542;"BP

Gewerbestr. 24, 8800 Thalwil";Diesel;24.08.2022;2,310 sFr;2,067 sFr
1671562883-115;https://www.benzin-preis.ch/suche-kanton?next=2541;"Shell

Kantonsstr. 34, 3930 Visp";Diesel;04.07.2022;2,310 sFr;2,047 sFr
1671562885-116;https://www.benzin-preis.ch/suche-kanton?next=2540;"Coop

Obermattstr. 1, 8805 Richterswil";Diesel;20.08.2022;2,310 sFr;2,067 sFr
1671562887-117;https://www.benzin-preis.ch/suche-kanton?next=2539;"Scall

Seestr. 47, 8708 Männedorf";Diesel;09.06.2022;2,310 sFr;2,067 sFr
1671562889-118;https://www.benzin-preis.ch/suche-kanton?next=2538;"BP

Kempttalstr. 54, 8330 Pfäffikon ZH";Diesel;30.08.2022;2,310 sFr;2,087 sFr
1671562891-119;https://www.benzin-preis.ch/suche-kanton?next=2537;"Umbrail Tankstelle

Do Fuschina 102, 7536 Sta. Maria V. M.";Diesel;31.10.2022;2,300 sFr;2,160 sFr
1671562893-120;https://www.benzin-preis.ch/suche-kanton?next=2536;"Landi

Unterdorfweg 7, 3753 Oey";Diesel;17.06.2022;2,300 sFr;2,027 sFr
1671562895-121;https://www.benzin-preis.ch/suche-kanton?next=2535;"BP

Isikerstr. 2, 8335 Hittnau";Diesel;16.07.2022;2,300 sFr;2,067 sFr
1671562897-122;https://www.benzin-preis.ch/suche-kanton?next=2534;"Terretaz SA

Curtins 104, 7530 Zernez";Diesel;31.10.2022;2,300 sFr;2,160 sFr
1671562899-123;https://www.benzin-preis.ch/suche-kanton?next=2533;"Shell

Punt Muragl 1, 7503 Samedan";Diesel;16.10.2022;2,300 sFr;2,167 sFr
1671562902-124;https://www.benzin-preis.ch/suche-kanton?next=2532;"Garage Emery

rte de Sullens 9, 1303 Penthaz";Diesel;31.05.2022;2,300 sFr;2,127 sFr
1671562904-125;https://www.benzin-preis.ch/suche-kanton?next=2531;"Tamoil

Kantonsstr. 73, 3930 Visp";Diesel;04.07.2022;2,300 sFr;2,037 sFr
1671562906-126;https://www.benzin-preis.ch/suche-kanton?next=2530;"Agip

Pfäffikerstr. 32, 8610 Uster";Diesel;05.09.2022;2,300 sFr;2,087 sFr
1671562909-127;https://www.benzin-preis.ch/suche-kanton?next=2529;"Socar

Orpundstr. 77, 2504 Biel/Bienne";Diesel;12.03.2022;2,300 sFr;2,227 sFr
1671562911-128;https://www.benzin-preis.ch/suche-kanton?next=2528;"Socar

Seestr. 801, 8706 Meilen";Diesel;09.06.2022;2,300 sFr;2,057 sFr
1671562913-129;https://www.benzin-preis.ch/suche-kanton?next=2527;"Gustoil

Route principale, 2830 Courrendlin";Diesel;26.10.2022;2,299 sFr;2,159 sFr
1671562916-130;https://www.benzin-preis.ch/suche-kanton?next=2526;"Gratank AG, Freie Tankstellle

Landstr. 10, 5524 Nesselnbach";Diesel;09.03.2022;2,299 sFr;2,106 sFr
1671562918-131;https://www.benzin-preis.ch/suche-kanton?next=2525;"J. Lenz Söhne AG Garage Valbella

Voa Principala, 7077 Valbella";Diesel;13.05.2022;2,295 sFr;2,152 sFr
1671562920-132;https://www.benzin-preis.ch/suche-kanton?next=2524;"Eni

San Roc, 7532 Tschierv";Diesel;31.10.2022;2,290 sFr;2,150 sFr
1671562923-133;https://www.benzin-preis.ch/suche-kanton?next=2523;"Grenz Shop

Chasa 241, 7560 Martina";Diesel;06.11.2022;2,290 sFr;2,180 sFr
1671562926-134;https://www.benzin-preis.ch/suche-kanton?next=2522;"NAIRS

Nairs 160, 7550 Scuol";Diesel;06.11.2022;2,290 sFr;2,180 sFr
1671562928-135;https://www.benzin-preis.ch/suche-kanton?next=2521;"Oechslin AG

Birchli 3, 8840 Einsiedeln";Diesel;04.09.2022;2,290 sFr;2,077 sFr
1671562930-136;https://www.benzin-preis.ch/suche-kanton?next=2520;"Hänggi

Schermenweg 151, 3072 Ostermundigen";Diesel;04.09.2022;2,290 sFr;2,077 sFr
1671562931-137;https://www.benzin-preis.ch/suche-kanton?next=2519;"Tamoil

Gsteigstr. 174, 3785 Gsteig b. Gstaad";Diesel;04.07.2022;2,290 sFr;2,027 sFr
1671562933-138;https://www.benzin-preis.ch/suche-kanton?next=2518;"Ryter Reichenbach Automat

Gsteigstr. 855, 3780 Gstaad";Diesel;04.07.2022;2,290 sFr;2,027 sFr
1671562936-139;https://www.benzin-preis.ch/suche-kanton?next=2517;"Socar

Gsteigstr. 18, 3780 Gstaad";Diesel;04.07.2022;2,290 sFr;2,027 sFr
1671562938-140;https://www.benzin-preis.ch/suche-kanton?next=2516;"Coop Pronto Zollikofen

Bernstr. 189, 3052 Zollikofen";Diesel;11.06.2022;2,290 sFr;
1671562940-141;https://www.benzin-preis.ch/suche-kanton?next=2515;"BP

Rte d'Aigle 58, 1867 Ollon VD";Diesel;18.04.2022;2,290 sFr;2,247 sFr
1671562942-142;https://www.benzin-preis.ch/suche-kanton?next=2514;"Garage Rainalter

Via Maistra 60, 7542 Susch";Diesel;31.10.2022;2,290 sFr;2,150 sFr
1671562944-143;https://www.benzin-preis.ch/suche-kanton?next=2513;"Jubin

Avenue du Chamossaire 9, 1860 Aigle";Diesel;18.04.2022;2,290 sFr;2,247 sFr
1671562945-144;https://www.benzin-preis.ch/suche-kanton?next=2512;"Coop

Bernstrasse 201, 3052 Zollikofen";Diesel;11.06.2022;2,290 sFr;
1671562948-145;https://www.benzin-preis.ch/suche-kanton?next=2511;"Socar

Bernstrasse 222, 3052 Zollikofen";Diesel;11.06.2022;2,290 sFr;
1671562950-146;https://www.benzin-preis.ch/suche-kanton?next=2510;"Shell Glarnerland

Autobahnraststätte West A3, 8867 Niederurnen";Diesel;15.12.2022;2,290 sFr;2,290 sFr
1671562951-147;https://www.benzin-preis.ch/suche-kanton?next=2509;"Simeond

Chemin d'Entre-Bois 21, 1018 Lausanne";Diesel;03.09.2022;2,290 sFr;2,077 sFr
1671562953-148;https://www.benzin-preis.ch/suche-kanton?next=2508;"Ring Garage AG Chur

Ringstr. 5-9, 7000 Chur";Diesel;13.05.2022;2,290 sFr;2,147 sFr
1671562955-149;https://www.benzin-preis.ch/suche-kanton?next=2507;"BP

Loretostr. 57, 9620 Lichtensteig";Diesel;17.05.2022;2,290 sFr;2,147 sFr
1671562958-150;https://www.benzin-preis.ch/suche-kanton?next=2506;"Gruppe Tonino

via San Gotthardo, 6780 Airolo";Diesel;27.05.2022;2,290 sFr;2,117 sFr
1671562959-151;https://www.benzin-preis.ch/suche-kanton?next=2505;"Coop

Rheinstr. 9, 9463 Oberriet SG";Diesel;10.05.2022;2,290 sFr;2,147 sFr
1671562963-152;https://www.benzin-preis.ch/suche-kanton?next=2504;"Shell

Av. de l'Ain 5, 1214 Vernier";Diesel;06.05.2022;2,290 sFr;2,197 sFr
1671562965-153;https://www.benzin-preis.ch/suche-kanton?next=2503;"Restoroute de la Gruyère

Restoroute de la Gruyère, 1644 Avry-devant-Pont";Diesel;28.10.2022;2,290 sFr;2,150 sFr
1671562966-154;https://www.benzin-preis.ch/suche-kanton?next=2502;"Hänggi

Bolligenstr., 3072 Ostermundigen";Diesel;05.09.2022;2,290 sFr;2,077 sFr
1671562968-155;https://www.benzin-preis.ch/suche-kanton?next=2501;"Ruedi Rüssel

Chesa Fringuel, 7516 Maloja";Diesel;11.07.2022;2,290 sFr;2,057 sFr
1671562970-156;https://www.benzin-preis.ch/suche-kanton?next=2500;"Hänggi

Murtenstr. 112, 3202 Frauenkappelen";Diesel;04.09.2022;2,290 sFr;2,077 sFr
1671562972-157;https://www.benzin-preis.ch/suche-kanton?next=2499;"Avia

Rheinstr. 7, 9463 Oberriet SG";Diesel;10.05.2022;2,290 sFr;2,147 sFr
1671562974-158;https://www.benzin-preis.ch/suche-kanton?next=2498;"Tamoil

Lochackerweg 5, 3302 Moosseedorf";Diesel;11.06.2022;2,290 sFr;2,047 sFr
1671562976-159;https://www.benzin-preis.ch/suche-kanton?next=2497;"Garage E. Schläpfer AG

Giessereistr. 1, 8620 Wetzikon ZH";Diesel;28.10.2022;2,289 sFr;2,149 sFr
1671562978-160;https://www.benzin-preis.ch/suche-kanton?next=2496;"Socar

Hauptstrasse, 7537 Müstair";Diesel;31.10.2022;2,280 sFr;2,140 sFr
1671562980-161;https://www.benzin-preis.ch/suche-kanton?next=2495;"Agrola

Simmentalstr., 3763 Därstetten";Diesel;04.07.2022;2,280 sFr;2,017 sFr
1671562982-162;https://www.benzin-preis.ch/suche-kanton?next=2494;"Sihlsee-Garage, Andermatt AG

Grosserstrasse 34, 8841 Gross";Diesel;05.09.2022;2,280 sFr;2,067 sFr
1671562984-163;https://www.benzin-preis.ch/suche-kanton?next=2493;"A9 Relais Du St-Bernard

A9 Relais Du St-Bernard, 1920 Martigny";Diesel;28.10.2022;2,280 sFr;2,140 sFr
1671562987-164;https://www.benzin-preis.ch/suche-kanton?next=2492;"Shell

Industriestr. 20a, 8604 Volketswil";Diesel;05.09.2022;2,280 sFr;2,067 sFr
1671562989-165;https://www.benzin-preis.ch/suche-kanton?next=2491;"BP

Zürcherstr. 86, 8620 Wetzikon ZH";Diesel;28.10.2022;2,280 sFr;2,140 sFr
1671562991-166;https://www.benzin-preis.ch/suche-kanton?next=2490;"PARCROM

Cunfin, 7537 Müstair";Diesel;31.10.2022;2,280 sFr;2,140 sFr
1671562992-167;https://www.benzin-preis.ch/suche-kanton?next=2489;"Landi

Thunstrasse 29H, 3770 Zweisimmen";Diesel;04.07.2022;2,280 sFr;2,017 sFr
1671562995-168;https://www.benzin-preis.ch/suche-kanton?next=2488;"Agrola

Kantonsstr. 50, 3930 Eyholz";Diesel;04.07.2022;2,280 sFr;2,017 sFr
1671562997-169;https://www.benzin-preis.ch/suche-kanton?next=2487;"Migrol

Kantonstrasse, 3952 Susten";Diesel;04.07.2022;2,280 sFr;2,017 sFr
1671562999-170;https://www.benzin-preis.ch/suche-kanton?next=2486;"Holzmätteli

Hofstettenstrasse, 3626 Hünibach";Diesel;09.08.2022;2,280 sFr;2,077 sFr
1671563001-171;https://www.benzin-preis.ch/suche-kanton?next=2485;"Coop Pronto

rte Lausanne 43, 1110 Morges";Diesel;13.05.2022;2,280 sFr;2,137 sFr
