Adresse;Art;Datum;Preis;Preis2;price
"Migrol

Thunstrasse 16, 3770 Zweisimmen";Bleifrei;04.07.2022;2,210 sFr;1,850 sFr;2
"Landi

Thunstrasse 29H, 3770 Zweisimmen";Bleifrei;04.07.2022;2,210 sFr;1,850 sFr;2
"Tamoil

Kantonsstr. 73, 3930 Visp";Bleifrei;04.07.2022;2,210 sFr;1,850 sFr;2
"OIL!

Mägenwilerstr. 8, 5504 Othmarsingen";Bleifrei;09.03.2022;2,200 sFr;1,910 sFr;2
"BP Rheintal

Autobahn A13, 9470 Buchs SG";Bleifrei;14.08.2022;2,200 sFr;1,960 sFr;2
"Ruedi Rüssel

Gotthardstr. , 6484 Wassen UR";Bleifrei;27.05.2022;2,200 sFr;1,960 sFr;2
"Ruedi Rüssel

Thunstr. 7, 3770 Zweisimmen";Bleifrei;04.07.2022;2,200 sFr;1,840 sFr;2
"Shell

Kantonsstr. 34, 3930 Visp";Bleifrei;04.07.2022;2,200 sFr;1,840 sFr;2
"Tamoil

Chemin du Pont de la Fin, Relais du Salève 1, 1257 Croix-de-Rozon";Bleifrei;16.05.2022;2,200 sFr;2,010 sFr;2
"Tamoil

Rte d'Annecy 223, 1257 Croix-de-Rozon";Bleifrei;16.05.2022;2,200 sFr;2,010 sFr;2
"BP

Rte de Saint-Julien 70, 1228 Lancy";Bleifrei;16.05.2022;2,200 sFr;2,010 sFr;2
"Agrola

Hauptstr. 7, 8363 Bichelsee";Bleifrei;16.07.2022;2,195 sFr;1,895 sFr;2
"Agrola

Bahnhofstr. 50, 8360 Eschlikon TG";Bleifrei;16.07.2022;2,195 sFr;1,895 sFr;2
"Coop

Pantenweg 2 , 7430 Thusis";Bleifrei;11.07.2022;2,190 sFr;1,890 sFr;2
"Benzin Discount

Saanenstrasse, 3770 Zweisimmen";Bleifrei;04.07.2022;2,190 sFr;1,830 sFr;2
"BP

Isikerstr. 2, 8335 Hittnau";Bleifrei;16.07.2022;2,190 sFr;1,890 sFr;2
"Mattli AG

Unterdorf, 6484 Wassen UR";Bleifrei;27.05.2022;2,190 sFr;1,950 sFr;2
"Tamoil

Rte de Saint-Julien 102, 1228 Plan-les-Ouates";Bleifrei;01.05.2022;2,190 sFr;2,080 sFr;2
"Migrol

Winterthurerstr. 7 , 8360 Eschlikon TG";Bleifrei;16.07.2022;2,190 sFr;1,890 sFr;2
"Migrol

Rte de Saint-Julien 185, 1228 Plan-les-Ouates";Bleifrei;01.05.2022;2,190 sFr;2,080 sFr;2
"Agrola

Tösstalstr. 29, 8492 Wila";Bleifrei;16.07.2022;2,190 sFr;1,890 sFr;2
"Shell

Mettstr. 33, 2503 Biel/Bienne";Bleifrei;11.03.2022;2,190 sFr;2,020 sFr;2
"Socar

Orpundstr. 77, 2504 Biel/Bienne";Bleifrei;11.03.2022;2,190 sFr;2,020 sFr;2
"Agrola TopShop

Hinwilerstrasse 92, 8620 Wetzikon ZH";Bleifrei;02.08.2022;2,190 sFr;1,920 sFr;2
"Socar

Gotthardstr. 66, 6467 Schattdorf";Bleifrei;27.05.2022;2,190 sFr;1,950 sFr;2
"Coop Pronto

Zürcherstr. 229, 8953 Dietikon";Bleifrei;27.05.2022;2,180 sFr;1,940 sFr;2
"Migrol

Kantonstrasse, 3952 Susten";Bleifrei;04.07.2022;2,180 sFr;1,820 sFr;2
"Shell

Überlandstrasse, 8104 Weiningen ZH";Bleifrei;27.05.2022;2,180 sFr;1,940 sFr;2
"Mini Prix

av. Morges 3, 1027 Lonay";Bleifrei;02.08.2022;2,180 sFr;1,910 sFr;2
"Tankstelle Svabic 

Hauptstr. 75 , 8362 Balterswil";Bleifrei;16.07.2022;2,179 sFr;1,879 sFr;2
"Coop

Gotthardstrasse , 6467 Schattdorf";Bleifrei;27.05.2022;2,170 sFr;1,930 sFr;2
"Ruedi Rüssel

Lenzburgstr. 8, 5507 Mellingen";Bleifrei;09.03.2022;2,170 sFr;1,880 sFr;2
"Ruedi Rüssel

Bahnhofstr.7, 5507 Mellingen";Bleifrei;09.03.2022;2,170 sFr;1,880 sFr;2
"Garage Emery

rte de Sullens 9, 1303 Penthaz";Bleifrei;31.05.2022;2,170 sFr;1,930 sFr;2
"Shell

Route des Acacias 41, 1227 Carouge GE";Bleifrei;25.03.2022;2,170 sFr;2,010 sFr;2
"Gratank AG, Freie Tankstellle

Landstr. 10, 5524 Nesselnbach";Bleifrei;09.03.2022;2,169 sFr;1,879 sFr;2
"Avia

Via Maistra 68 , 7504 Pontresina";Bleifrei;13.05.2022;2,160 sFr;1,970 sFr;2
"Welti

Militärstrasse 12, 6467 Schattdorf";Bleifrei;09.08.2022;2,160 sFr;1,920 sFr;2
"Migrol

Daegerlohn , 6473 Silenen";Bleifrei;09.08.2022;2,160 sFr;1,920 sFr;2
"BP

Rte de Chancy 17 bis, 1213 Petit-Lancy";Bleifrei;25.03.2022;2,160 sFr;2,000 sFr;2
"Coop Pronto

Av. Cardinal-Mermillod 11, 1227 Carouge";Bleifrei;25.03.2022;2,160 sFr;2,000 sFr;2
"Shell

Av. Louis-Casaï 27, 1209 Genève";Bleifrei;25.03.2022;2,160 sFr;2,000 sFr;2
"Ruedi Rüssel Schöftland

Aarauerstrasse 6, 5040 Schöftland";Bleifrei;09.03.2022;2,160 sFr;1,870 sFr;2
"Shell

Rte de Chancy 142, 1213 Onex";Bleifrei;25.03.2022;2,160 sFr;2,000 sFr;2
"Shell Station

Rte de Meyrin 248, 1217 Meyrin";Bleifrei;24.03.2022;2,160 sFr;2,000 sFr;2
"Ruedi Rüssel

Chesa Fringuel, 7516 Maloja";Bleifrei;11.07.2022;2,160 sFr;1,860 sFr;2
"Avia

Dorfstr. 13, 6462 Seedorf UR";Bleifrei;09.08.2022;2,160 sFr;1,920 sFr;2
"Garage Hürlimann

Haptstr. 38, 5506 Mägenwil";Bleifrei;09.03.2022;2,160 sFr;1,870 sFr;2
"Daetwyler Swiss Tec AG

Flugplatz, 3368 Bleienbach";Bleifrei;27.06.2022;2,150 sFr;1,790 sFr;2
"Coop

Tramstr. 20, 9444 Diepoldsau";Bleifrei;14.08.2022;2,150 sFr;1,910 sFr;2
"BP Tankstelle Diepoldsau

Tramstr. 19, 9444 Diepoldsau";Bleifrei;14.08.2022;2,150 sFr;1,910 sFr;2
"Eni

Tramstr. 28, 9444 Diepoldsau";Bleifrei;14.08.2022;2,150 sFr;1,910 sFr;2
"Pasche & Co SA

av. de Morges 47, 1027 Lonay";Bleifrei;02.08.2022;2,150 sFr;1,880 sFr;2
"BP

Südstr. 1 , 9451 Kriessern";Bleifrei;14.08.2022;2,150 sFr;1,910 sFr;2
"Eni

Av. Louis-Casaï 110, 1220 Vernier";Bleifrei;25.03.2022;2,150 sFr;1,990 sFr;2
"Eni

, 7074 Malix";Bleifrei;16.08.2022;2,150 sFr;1,910 sFr;2
"Remo Arnoldi

Rue de Carouge 116, 1205 Genève";Bleifrei;25.03.2022;2,150 sFr;1,990 sFr;2
"Tamoil

Hohenemserstr. 65a, 9444 Diepoldsau";Bleifrei;14.08.2022;2,150 sFr;1,910 sFr;2
"Shell

Zürcherstr. 73, 8800 Thalwil";Bleifrei;22.08.2022;2,149 sFr;1,939 sFr;2
"Garage Guex SA

rte Romanel 40, 1121 Bremblens";Bleifrei;31.05.2022;2,149 sFr;1,909 sFr;2
"Denner

rue de la Gare 2, 1373 Chavornay";Bleifrei;23.05.2022;2,140 sFr;1,900 sFr;2
"Migrol

Hauptstr. , 7075 Churwalden";Bleifrei;16.08.2022;2,140 sFr;1,900 sFr;2
"Shell

Rte de Saint-Julien 295, 1258 Perly-Certoux";Bleifrei;03.04.2022;2,140 sFr;2,010 sFr;2
"Tamoil

Rte de Saint-Julien 286, 1258 Perly-Certoux";Bleifrei;03.04.2022;2,140 sFr;2,010 sFr;2
"Coop Pronto

Chem. de Champ-Budin 1a, 1258 Perly-Certoux";Bleifrei;03.04.2022;2,140 sFr;2,010 sFr;2
"BP

Rte de Saint-Julien 266, 1258 Perly-Certoux";Bleifrei;03.04.2022;2,140 sFr;2,010 sFr;2
"J. Lenz Söhne AG Garage Valbella

Voa Principala, 7077 Valbella";Bleifrei;13.05.2022;2,135 sFr;1,945 sFr;2
"Avia

Rte de Verbois 59, 1281 Russin";Bleifrei;03.04.2022;2,130 sFr;2,000 sFr;2
"Shell

Rte de Chancy 500, 1284 Chancy";Bleifrei;03.04.2022;2,130 sFr;2,000 sFr;2
"Ring Garage AG Chur

Ringstr. 5-9, 7000 Chur";Bleifrei;13.05.2022;2,130 sFr;1,940 sFr;2
"BP

Loretostr. 57, 9620 Lichtensteig";Bleifrei;17.05.2022;2,130 sFr;1,940 sFr;2
"BP

Gewerbestr. 24, 8800 Thalwil";Bleifrei;24.08.2022;2,130 sFr;1,920 sFr;2
"Station service Piccand

Rte de Drize 73, 1234 Vessy";Bleifrei;16.04.2022;2,130 sFr;2,040 sFr;2
"BP

Rte de Chancy 102, 1213 Onex";Bleifrei;08.04.2022;2,130 sFr;2,040 sFr;2
"Socar

Rte de Chancy 113, 1213 Onex";Bleifrei;08.04.2022;2,130 sFr;2,040 sFr;2
"Simon

ZI Moulin du Choc B, 1122 Romanel-sur-Morges";Bleifrei;04.04.2022;2,130 sFr;2,000 sFr;2
"Station F1

rte Forge 1, 1116 Cottens VD";Bleifrei;08.08.2022;2,129 sFr;1,889 sFr;2
"Shell

Feldhofstr. 2, 8610 Uster";Bleifrei;15.05.2022;2,125 sFr;1,935 sFr;2
"Garage Autopac SA

ch. des Fourches 1, 1305 Penthalaz";Bleifrei;07.04.2022;2,120 sFr;2,030 sFr;2
"Migrol

Haupstr. 145, 3212 Gurmels";Bleifrei;22.07.2022;2,110 sFr;1,840 sFr;2
"Garage Peter Weber

Luterbachstrasse 51, 4528 Zuchwil";Bleifrei;17.07.2022;2,110 sFr;1,810 sFr;2
"Voegtlin-Meyer

Bruggerstr. 28, 5413 Birmenstorf AG";Bleifrei;27.05.2022;2,110 sFr;1,870 sFr;2
"Stop+Go Garage Schneider

Bruggerstr. 6, 5413 Birmenstorf AG";Bleifrei;27.05.2022;2,110 sFr;1,870 sFr;2
"Gruppe Tonino

via San Gotthardo, 6780 Airolo";Bleifrei;27.05.2022;2,110 sFr;1,870 sFr;2
"Coop

Obermattstr. 1, 8805 Richterswil";Bleifrei;20.08.2022;2,110 sFr;1,900 sFr;2
"Avia

Rue des Bossons 106, 1213 Petit-Lancy";Bleifrei;08.04.2022;2,110 sFr;2,020 sFr;2
"Agrola

Rickenstr. 68, 9630 Wattwil";Bleifrei;13.03.2022;2,110 sFr;1,940 sFr;2
"BP

Rickenstrasse, 9630 Wattwil";Bleifrei;13.03.2022;2,110 sFr;1,940 sFr;2
"Socar

Sankt Jakobs-Strasse 70, 4132 Muttenz";Bleifrei;25.07.2022;2,110 sFr;1,840 sFr;2
"BP

Rte d'Aigle 58, 1867 Ollon VD";Bleifrei;18.04.2022;2,100 sFr;2,010 sFr;2
"Eni

Bd des Promenades 2, 1227 Carouge GE";Bleifrei;16.04.2022;2,100 sFr;2,010 sFr;2
"Socar

Solothurnstrasse 9, 4702 Oensingen";Bleifrei;31.03.2022;2,100 sFr;1,940 sFr;2
"Piccadilly

Via Campione 4, 6816 Bissone";Bleifrei;21.03.2022;2,100 sFr;2,000 sFr;2
"Coop Pronto

rte Lausanne 43, 1110 Morges";Bleifrei;13.05.2022;2,100 sFr;1,910 sFr;2
"Tamoil

Rte du Bois-des-Frères 38, 1219 Aïre";Bleifrei;15.03.2022;2,100 sFr;1,930 sFr;2
"Shell

Oltenstr. 50, 4702 Oensingen";Bleifrei;31.03.2022;2,100 sFr;1,940 sFr;2
"Socar

Rte de Meyrin 372, 1217 Meyrin";Bleifrei;19.03.2022;2,100 sFr;2,000 sFr;2
"Avia

Rue des Moulières 5, 1242 Satigny";Bleifrei;18.04.2022;2,100 sFr;2,010 sFr;2
"station

ch Matagasses, 1268 Burtigny";Bleifrei;12.08.2022;2,100 sFr;1,860 sFr;2
"Agrola

Steigstr. 8, 9220 Bischofszell";Bleifrei;13.03.2022;2,100 sFr;1,930 sFr;2
"Landi

rte de Dizy 1, 1304 Cossonay-Ville";Bleifrei;07.04.2022;2,100 sFr;2,010 sFr;2
"Eni

Via Cantonale, 6818 Melano";Bleifrei;21.03.2022;2,090 sFr;1,990 sFr;2
"giola

Via Cantonale 59, 6818 Melano";Bleifrei;21.03.2022;2,090 sFr;1,990 sFr;2
"Eni

Via Cantonale 10, 6818 Melano";Bleifrei;21.03.2022;2,090 sFr;1,990 sFr;2
"Coop

Untere Dürrmühlestrasse 19, 4704 Niederbipp";Bleifrei;31.03.2022;2,090 sFr;1,930 sFr;2
"Migrol

Buchlistrasse 1, 4704 Niederbipp";Bleifrei;31.03.2022;2,090 sFr;1,930 sFr;2
"Agrola

Grosszelgstr., 5436 Würenlos";Bleifrei;28.03.2022;2,090 sFr;1,930 sFr;2
"Socar

Via Franco Zorzi 4, 6850 Mendrisio";Bleifrei;21.03.2022;2,090 sFr;1,990 sFr;2
"Socar

via Carlo Maderno 56, 6825 Capolago";Bleifrei;21.03.2022;2,090 sFr;1,990 sFr;2
"Shell

Route de Lausanne 345, 1293 Bellevue";Bleifrei;21.03.2022;2,090 sFr;1,990 sFr;2
"BP

Route de Lausanne, 1293 Bellevue";Bleifrei;21.03.2022;2,090 sFr;1,990 sFr;2
"Agrola

Rue des Sablières 15, 1242 Satigny";Bleifrei;18.04.2022;2,090 sFr;2,000 sFr;2
"BP

Bielstr. 98, 3250 Lyss";Bleifrei;06.06.2022;2,090 sFr;1,750 sFr;2
"Avia

Hauptstrasse, 9514 Wuppenau";Bleifrei;12.08.2022;2,090 sFr;1,850 sFr;2
"Tamoil

Via Giulia 47, 6855 Stabio";Bleifrei;21.03.2022;2,080 sFr;1,980 sFr;2
"Coop

Dorfstrasse 20, 4612 Wangen b. Olten";Bleifrei;01.04.2022;2,080 sFr;1,950 sFr;2
"Tamoil

Rte de Riddes 22, 1912 Leytron";Bleifrei;18.04.2022;2,080 sFr;1,990 sFr;2
"Nasa GmbH

Zürcherstr. 68, 8500 Frauenfeld";Bleifrei;09.03.2022;2,080 sFr;1,790 sFr;2
"Holzmätteli

Hofstettenstrasse, 3626 Hünibach";Bleifrei;09.08.2022;2,080 sFr;1,840 sFr;2
"Nasa Gmbh

Zürcherstrasse 68, 8500 Frauenfeld";Bleifrei;09.03.2022;2,080 sFr;1,790 sFr;2
"Agip

Solothurnerstr. 22, 4614 Hägendorf";Bleifrei;01.04.2022;2,080 sFr;1,950 sFr;2
"Avia

Rheinstr. 7, 9463 Oberriet SG";Bleifrei;10.05.2022;2,080 sFr;1,940 sFr;2
"Socar

Solothurnerstr. 170, 4600 Olten";Bleifrei;01.04.2022;2,080 sFr;1,950 sFr;2
"BP

Kempttalstr. 54, 8330 Pfäffikon ZH";Bleifrei;30.08.2022;2,080 sFr;1,890 sFr;2
"Eni Gotthard

A2 Ost, 6467 Schattdorf";Bleifrei;28.10.2022;2,075 sFr;2,045 sFr;2
"Hänggi

Schermenweg 151, 3072 Ostermundigen";Bleifrei;04.09.2022;2,070 sFr;1,940 sFr;2
"Piccadilly

Via Gaggiolo 33, 6855 Stabio";Bleifrei;21.03.2022;2,070 sFr;1,970 sFr;2
"Eni

Via Gaggiolo 35, 6855 Stabio";Bleifrei;21.03.2022;2,070 sFr;1,970 sFr;2
"Eni

Via Gaggiolo 45, 6855 Stabio";Bleifrei;21.03.2022;2,070 sFr;1,970 sFr;2
"Eni

Via Gaggiolo 42, 6855 Stabio";Bleifrei;21.03.2022;2,070 sFr;1,970 sFr;2
"Agrola

Route de Saanen 2, 1660 Château-d'Oex";Bleifrei;18.04.2022;2,070 sFr;1,980 sFr;2
"BP

Via Francesco Borromini 6, 6850 Mendrisio";Bleifrei;21.03.2022;2,070 sFr;1,970 sFr;2
"Avia

Via Gaggiolo 39, 6855 Stabio";Bleifrei;21.03.2022;2,070 sFr;1,970 sFr;2
"Shell

Av. de l'Ain 5, 1214 Vernier";Bleifrei;25.04.2022;2,070 sFr;1,960 sFr;2
"Hänggi

Bolligenstr., 3072 Ostermundigen";Bleifrei;05.09.2022;2,070 sFr;1,940 sFr;2
"Spurt Gas Bar

Rue de Livron 19B, 1217 Meyrin";Bleifrei;25.04.2022;2,070 sFr;1,960 sFr;2
"LANDI Zola AG

Kempttalstr., 8330 Pfäffikon ZH";Bleifrei;30.08.2022;2,070 sFr;1,880 sFr;2
"Hänggi

Murtenstr. 112, 3202 Frauenkappelen";Bleifrei;04.09.2022;2,070 sFr;1,940 sFr;2
"Küng AG Bern

Hubelgutstrasse 1, 3048 Worblaufen";Bleifrei;21.08.2022;2,060 sFr;1,850 sFr;2
"Coop

Oltnerstrasse 127, 4663 Aarburg";Bleifrei;06.04.2022;2,060 sFr;1,930 sFr;2
"HESSAG

Worblaufenstr. 159, 3048 Worblaufen";Bleifrei;14.08.2022;2,060 sFr;1,820 sFr;2
"Jubin

Route des Ouges, 1660 Les Moulins";Bleifrei;18.04.2022;2,060 sFr;1,970 sFr;2
"Jubin

Route du Fragnolet 1, 1660 Château-d'Oex";Bleifrei;18.04.2022;2,060 sFr;1,970 sFr;2
"Garage de Lioson

Route du Col des Mosses 62, 1862 Les Mosses";Bleifrei;18.04.2022;2,060 sFr;1,970 sFr;2
"Jubin

Avenue du Chamossaire 9, 1860 Aigle";Bleifrei;18.04.2022;2,060 sFr;1,970 sFr;2
"Migrol Service Olten

Aarburgerstr. 115, 4600 Olten";Bleifrei;06.04.2022;2,060 sFr;1,930 sFr;2
"Ruedi Rüssel

Im Herzel 7, 4614 Hägendorf";Bleifrei;01.04.2022;2,060 sFr;1,930 sFr;2
"Eni

Hauptstr. 119, 2575 Täuffelen";Bleifrei;14.08.2022;2,060 sFr;1,820 sFr;2
"Coop Pronto

Rue de Lyon 100, 1203 Genève";Bleifrei;17.03.2022;2,060 sFr;1,960 sFr;2
"Socar

San Bernardino, 6565 S. Bernardino";Bleifrei;21.03.2022;2,059 sFr;1,959 sFr;2
"Ruedi Rüssel

Hendschikerstrasse 9, 5600 Lenzburg";Bleifrei;22.08.2022;2,050 sFr;1,840 sFr;2
"Go Gialla

Via Gaggiolo 19, 6855 Stabio";Bleifrei;21.03.2022;2,050 sFr;1,950 sFr;2
"esca

Via Gaggiolo 57, 6855 Stabio";Bleifrei;21.03.2022;2,050 sFr;1,950 sFr;2
"Euro Petrolio

Via Gaggiolo 52, 6855 Stabio";Bleifrei;21.03.2022;2,050 sFr;1,950 sFr;2
"Sprint Shop

Via Gaggiolo 61, 6855 Stabio";Bleifrei;21.03.2022;2,050 sFr;1,950 sFr;2
"esca

Via Gaggiolo 54, 6855 Stabio";Bleifrei;21.03.2022;2,050 sFr;1,950 sFr;2
"Mini Prix

Oltnerstr. 3, 4622 Egerkingen";Bleifrei;01.04.2022;2,050 sFr;1,920 sFr;2
"Migrol

Oltnerstr. 46, 4622 Egerkingen";Bleifrei;01.04.2022;2,050 sFr;1,920 sFr;2
"Migrol

Av. Louis-Casaï 74, 1216 Cointrin";Bleifrei;23.04.2022;2,050 sFr;1,940 sFr;2
"Gioia

Via Gaggiolo 22, 6855 Stabio";Bleifrei;21.03.2022;2,050 sFr;1,950 sFr;2
"Coop

Wattstrasse 3, 9240 Uzwil";Bleifrei;26.04.2022;2,050 sFr;1,940 sFr;2
"Tamoil

Via Cantonale, 6814 Lamone";Bleifrei;21.03.2022;2,050 sFr;1,950 sFr;2
"Scall

Hauptstr. 1, 5113 Holderbank AG";Bleifrei;09.03.2022;2,049 sFr;1,759 sFr;2
"Agip

Pfäffikerstr. 32, 8610 Uster";Bleifrei;05.09.2022;2,045 sFr;1,915 sFr;2
"Oechslin AG

Birchli 3, 8840 Einsiedeln";Bleifrei;04.09.2022;2,040 sFr;1,910 sFr;2
"Tamoil

Route de l'Intyamon 108, 1666 Villars-sous-Mont";Bleifrei;18.04.2022;2,040 sFr;1,950 sFr;2
"Schachengarage

Looweg 2, 9463 Oberriet SG";Bleifrei;10.05.2022;2,040 sFr;1,900 sFr;2
"Jubin

Route de Saillon 94, 1926 Fully";Bleifrei;18.04.2022;2,040 sFr;1,950 sFr;2
"Jubin

Avenue des Comtes de Savoie, 1913 Saillon";Bleifrei;18.04.2022;2,040 sFr;1,950 sFr;2
"Avia

Seeburgstr. 1, 6000 Luzern";Bleifrei;12.04.2022;2,040 sFr;1,950 sFr;2
"Ruedi Rüssel

Morgentalstr. 24, 8355 Aadorf";Bleifrei;27.03.2022;2,040 sFr;1,880 sFr;2
"Socar

Via della Posta 23, 6934 Bioggio";Bleifrei;21.03.2022;2,040 sFr;1,940 sFr;2
"Lenzlinger Söhne AG

Herrenweg 157, 8330 Pfäffikon ZH";Bleifrei;30.08.2022;2,040 sFr;1,850 sFr;2
"Eni

Monte Ceneri, 6802 Rivera";Bleifrei;21.03.2022;2,040 sFr;1,940 sFr;2
"Eni

Bricola, 6802 Rivera";Bleifrei;21.03.2022;2,040 sFr;1,940 sFr;2
"Avia

Via Cantonale, 6802 Rivera";Bleifrei;21.03.2022;2,040 sFr;1,940 sFr;2
"Oil

Hochstr. 73, 8330 Pfäffikon ZH";Bleifrei;30.08.2022;2,040 sFr;1,850 sFr;2
"Tamoil

Via Cantonale, 6804 Bironico";Bleifrei;21.03.2022;2,040 sFr;1,940 sFr;2
"Shell

Via Cantonale, 6804 Bironico";Bleifrei;21.03.2022;2,040 sFr;1,940 sFr;2
"Eni City

Via Serta, 6814 Lamone";Bleifrei;21.03.2022;2,040 sFr;1,940 sFr;2
"City Moesa SA

Campagnola, 6534 S. Vittore";Bleifrei;21.03.2022;2,035 sFr;1,935 sFr;2
"Socar Gotthard

A2 West, 6467 Schattdorf";Bleifrei;28.10.2022;2,035 sFr;2,005 sFr;2
"Shell

Route de Pra Riond 4, 1635 La Tour-de-Trême";Bleifrei;18.04.2022;2,030 sFr;1,940 sFr;2
"Coop Pronto

Route de Pra Riond 1, 1635 La Tour-de-Trême";Bleifrei;18.04.2022;2,030 sFr;1,940 sFr;2
"Ruedi Rüssel

Seestr. 1375, 9322 Egnach";Bleifrei;22.08.2022;2,030 sFr;1,820 sFr;2
"Ruedi Rüssel

Aarburgerstr. 96, 4600 Olten";Bleifrei;06.04.2022;2,030 sFr;1,900 sFr;2
"Combustia

Route de Saillon 178, 1926 Fully";Bleifrei;18.04.2022;2,030 sFr;1,940 sFr;2
"Alpina Tankstelle

Dorfstrasse 42, 7563 Samnaun Dorf";Bleifrei;21.09.2020;1,140 sFr;1,640 sFr;1
"Landi TopShop

Entlebucherstr. 79, 6110 Wolhusen";Bleifrei;12.04.2022;2,020 sFr;1,930 sFr;2
"Simeond

Chemin d'Entre-Bois 21, 1018 Lausanne";Bleifrei;03.09.2022;2,020 sFr;1,890 sFr;2
"station Miniprix

rte Vanel 121, 1647 Corbières";Bleifrei;18.04.2022;2,020 sFr;1,930 sFr;2
"Eni

Via San Gottardo, 6593 Cadenazzo";Bleifrei;21.03.2022;2,020 sFr;1,920 sFr;2
"Eni

Via Bellinzona 17, 6512 Giubiasco";Bleifrei;21.03.2022;2,020 sFr;1,920 sFr;2
"Shell

Schaffhauserstr. 152, 8400 Winterthur";Bleifrei;06.03.2022;2,020 sFr;1,980 sFr;2
"Avia

Zürichstr. 44, 8600 Dübendorf";Bleifrei;06.03.2022;2,020 sFr;1,980 sFr;2
"Eni

Via San Gottardo, 6500 Bellinzona";Bleifrei;21.03.2022;2,020 sFr;1,920 sFr;2
"Socar

Via San Gottardo 129, 6500 Bellinzona";Bleifrei;21.03.2022;2,020 sFr;1,920 sFr;2
"Eni

Via Emilio Motta, 6500 Bellinzona";Bleifrei;21.03.2022;2,020 sFr;1,920 sFr;2
"Coop

Via Monte Ceneri 20, 6512 Giubiasco";Bleifrei;21.03.2022;2,020 sFr;1,920 sFr;2
"Socar

Via Franco Zorzi 36, 6500 Bellinzona";Bleifrei;21.03.2022;2,020 sFr;1,920 sFr;2
"Helbling Schifftankstelle

Strandweg 33, 8716 Schmerikon";Bleifrei;20.10.2022;2,010 sFr;1,980 sFr;2
"Sihlsee-Garage, Andermatt AG

Grosserstrasse 34, 8841 Gross";Bleifrei;05.09.2022;2,010 sFr;1,880 sFr;2
"Shell

Industriestr. 20a, 8604 Volketswil";Bleifrei;05.09.2022;2,010 sFr;1,880 sFr;2
"Shell

Freiburgstr. 508, 3018 Bern";Bleifrei;18.04.2022;2,010 sFr;1,920 sFr;2
"Avia

Freiburgstr. 528, 3172 Niederwangen BE";Bleifrei;18.04.2022;2,010 sFr;1,920 sFr;2
"Migrol Tankstelle

Hauptstr. 69, 2557 Studen BE";Bleifrei;22.07.2022;2,010 sFr;1,740 sFr;2
"Mini Prix

Route de l'Intyamon 14, 1669 Neirivue";Bleifrei;18.04.2022;2,010 sFr;1,920 sFr;2
"Tamoil

Balmhofmatte, 3856 Brienzwiler";Bleifrei;12.04.2022;2,010 sFr;1,920 sFr;2
"Migrol

Dorf 62, 6160 Entlebuch";Bleifrei;12.04.2022;2,010 sFr;1,920 sFr;2
"Schuetzenmatt Garage

Hauptstr., 6160 Entlebuch";Bleifrei;12.04.2022;2,010 sFr;1,920 sFr;2
"Tamoil

Aebnit 96, 3614 Unterlangenegg";Bleifrei;12.04.2022;2,010 sFr;1,920 sFr;2
"Migrol

In der Au 2, 8406 Winterthur";Bleifrei;06.03.2022;2,010 sFr;1,970 sFr;2
"Agrola

Kreuzweg 108, 3614 Unterlangenegg";Bleifrei;12.04.2022;2,010 sFr;1,920 sFr;2
